client_id,group,error
61961,test,repeated:step_1
61961,test,repeated:step_2
62058,control,missing_confirm
62284,test,repeated:step_2
62498,control,missing_confirm
62503,control,missing_confirm
62503,control,went_back:step_3_to_start
62503,control,repeated:start
62791,test,repeated:confirm
62837,control,missing_confirm
63001,control,missing_confirm
63796,test,went_back:step_2_to_step_1
63796,test,went_back:step_1_to_start
63796,test,repeated:start
63796,test,repeated:step_1
63796,test,repeated:confirm
63879,test,went_back:step_3_to_start
63879,test,repeated:start
63879,test,repeated:step_3
63879,test,repeated:confirm
64020,control,went_back:step_2_to_step_1
64020,control,repeated:step_1
64020,control,repeated:step_2
64635,test,missing_start
64635,test,repeated:confirm
64871,control,repeated:confirm
64885,test,missing_confirm
64964,control,went_back:confirm_to_start
64964,control,repeated:start
64964,control,repeated:step_1
65716,control,went_back:step_3_to_step_2
65716,control,went_back:step_3_to_step_2
65716,control,repeated:start
65716,control,repeated:step_2
65716,control,repeated:step_3
66160,test,repeated:confirm
66169,control,went_back:step_3_to_start
66169,control,repeated:start
66169,control,repeated:step_1
66169,control,repeated:step_2
66169,control,repeated:step_3
66543,control,missing_confirm
66543,control,repeated:start
66930,test,missing_confirm
66930,test,went_back:step_2_to_step_1
66930,test,went_back:step_3_to_step_2
66930,test,repeated:step_1
66930,test,repeated:step_2
66930,test,repeated:step_3
67390,test,went_back:step_1_to_start
67390,test,repeated:start
67390,test,repeated:step_1
67845,test,missing_confirm
67845,test,went_back:step_1_to_start
67845,test,repeated:start
67845,test,repeated:step_1
67925,test,repeated:start
67925,test,repeated:step_3
67925,test,repeated:confirm
68116,control,missing_confirm
68170,control,missing_confirm
68170,control,repeated:start
68830,control,went_back:confirm_to_start
68830,control,repeated:start
68830,control,repeated:step_1
68854,control,went_back:confirm_to_start
68854,control,repeated:start
68884,test,missing_confirm
68884,test,went_back:step_3_to_start
68884,test,repeated:start
68884,test,repeated:step_1
68884,test,repeated:step_2
68884,test,repeated:step_3
68886,test,repeated:confirm
68963,control,went_back:step_3_to_start
68963,control,went_back:confirm_to_start
68963,control,went_back:step_1_to_start
68963,control,repeated:start
68963,control,repeated:step_1
68963,control,repeated:step_2
68963,control,repeated:step_3
69255,control,skipped_step
69568,test,missing_confirm
69591,test,missing_confirm
70225,control,repeated:step_3
70576,test,went_back:step_1_to_start
70576,test,went_back:step_3_to_start
70576,test,went_back:step_2_to_start
70576,test,repeated:start
70576,test,repeated:step_1
70576,test,repeated:step_2
70576,test,repeated:step_3
70863,test,missing_confirm
71159,test,missing_confirm
71159,test,repeated:start
71296,control,went_back:step_1_to_start
71296,control,repeated:start
71296,control,repeated:step_1
71476,control,missing_confirm
71626,control,missing_confirm
71626,control,went_back:step_1_to_start
71626,control,repeated:start
71626,control,repeated:step_1
72074,test,went_back:step_2_to_start
72074,test,went_back:step_2_to_step_1
72074,test,went_back:step_1_to_start
72074,test,repeated:start
72074,test,repeated:step_1
72074,test,repeated:step_2
72221,control,went_back:step_3_to_step_2
72221,control,went_back:step_3_to_step_1
72221,control,went_back:confirm_to_start
72221,control,repeated:start
72221,control,repeated:step_1
72221,control,repeated:step_2
72221,control,repeated:step_3
